id,screen_name,text_raw,like_counts,total_number,created_at
4.76411E+15,我是美丽的小锦鲤富婆,姐姐已经很久没更新了[熊猫],6,0,Sun May 01 00:23:24 +0800 2022
4.65895E+15,小烦人0627,热乎的姐的视频[憧憬]柒姐有柴米油盐酱醋茶[心]我们有早中晚一日三餐[嘻嘻]@李子柒 [心] http://t.cn/A6fWoEMD,6,1,Wed Jul 14 20:14:45 +0800 2021
4.65895E+15,InkVermilion,我的姐 您这几个小表情 看得我都能听到我脉搏在颤动[心] http://t.cn/A6fWSntu,6,1,Wed Jul 14 20:00:16 +0800 2021
4.65926E+15,Galaxy-Moonback,曲水流觞太浪漫了吧,6,0,Thu Jul 15 16:42:05 +0800 2021
4.80146E+15,妖娆princess,又来翻你的视频啦，去年你最后一期视频，我记得我还在我爸妈家安利，投屏放给他们看。跟他们讲述你多么厉害…当时的我，正好怀孕5个多月…一转眼你停更1年多了。我的娃现在也已经快9个月了。一年多里面，好几次翻看你的视频，挺好的…最后，祝安好，愿强大…另期盼已久，等君归来,6,0,Fri Aug 12 01:54:21 +0800 2022
4.68161E+15,长毛兔的花园,娃儿都生了，月子都从完了，还不更新[允悲],6,3,Wed Sep 15 08:51:20 +0800 2021
4.74285E+15,L莫道不消魂,早安[心],6,0,Thu Mar 03 08:24:58 +0800 2022
4.68494E+15,2颗板牙晒太阳,是时候严管那些唯利是图，贪得无厌的资本黑手了，我们是社会主义国家，不是财阀横行，有钱人说了算的美韩，可以说资本是实现共同富裕的最大障碍。,6,0,Fri Sep 24 12:58:29 +0800 2021
4.68365E+15,-WUJUAN-,我真的好难过。只要哪里再出个农村日常的就一大堆人说你不真实。为什么你的视频这么有意义传递了这么多东西看不到么。你做的也不是农村生活日常啊。看到那些评论真的好气[怒][怒],6,0,Mon Sep 20 23:34:37 +0800 2021
4.85132E+15,夏目小栗,在等你回来[哇],6,0,Tue Dec 27 16:01:23 +0800 2022
4.68671E+15,世界上没有那么多难事,诶我去！,6,0,Wed Sep 29 10:20:11 +0800 2021
4.67844E+15,金刚芭比奶酪66199610,看馋了[哈哈],6,0,Mon Sep 06 14:51:08 +0800 2021
4.67562E+15,阳光崭新我崭新,还没更新啊,6,0,Sun Aug 29 19:43:18 +0800 2021
4.67412E+15,zmy_赵敏,催不动~这样下去会失去我们,6,2,Wed Aug 25 16:43:16 +0800 2021
4.80653E+15,一月yiyi,柒姐,6,0,Fri Aug 26 01:36:11 +0800 2022
4.68258E+15,五十音図,姐 你人呢！,6,1,Sat Sep 18 00:33:43 +0800 2021
4.67387E+15,Oosevenna,我的宝……以前是一周一更……后来两三周一更……现在更厉害……一个多月都还没有等到你更……,6,1,Tue Aug 24 23:51:16 +0800 2021
4.9387E+15,JJR家具招聘网-徐雪莲,什么时候复出啊，好想你,6,0,Fri Aug 25 19:04:35 +0800 2023
4.75845E+15,沐沐的雪儿,姐姐什么时候更新啊,6,0,Fri Apr 15 09:41:58 +0800 2022
4.71845E+15,妮-乯,啥时候回归,6,0,Sun Dec 26 00:38:25 +0800 2021
4.68483E+15,l换个名字_,催更,6,0,Fri Sep 24 05:33:58 +0800 2021
4.67697E+15,倚栏品风雨,更新太慢了,6,0,Thu Sep 02 13:06:41 +0800 2021
4.68478E+15,兔子_绒绒垂耳的,加油,6,0,Fri Sep 24 02:43:47 +0800 2021
4.67971E+15,kk壳壳壳,现在更新的速度呵呵了,6,0,Fri Sep 10 02:58:20 +0800 2021
4.76401E+15,面包树卡卡库斯,热搜过来看看 维权加油！,6,0,Sat Apr 30 17:44:49 +0800 2022
4.70479E+15,刘冒冒天天开心,期待子柒更新呀,5,0,Thu Nov 18 08:06:21 +0800 2021
4.65894E+15,紫气东来歌,厉害了子柒 [打call],5,0,Wed Jul 14 19:26:59 +0800 2021
4.65894E+15,LaoYAO物,我们爱你呦[心]强行么么哒[爱你],5,0,Wed Jul 14 19:17:39 +0800 2021
4.65926E+15,Juanzi659940636,那只公鸡偷学厨艺,5,0,Thu Jul 15 16:10:49 +0800 2021
4.659E+15,明天的崽,我想去你家吃饭,5,0,Wed Jul 14 22:57:29 +0800 2021
4.65899E+15,橘小_,每次看李子柒的视频都有些伤感，气自己没有能力把奶奶带在身边，奶奶一个人在老家，我们在外打工,5,0,Wed Jul 14 22:36:29 +0800 2021
4.81173E+15,我有民谣你有酒吗,转眼间就停更一年多了 很想你 柒  等你回来,5,0,Fri Sep 09 10:21:12 +0800 2022
4.6593E+15,诺式媒女,#李子柒柴米油盐酱醋茶完结# 第一次看柒柒驾驶现代交通工具穿梭在乡间～别有一番感觉[太开心]以往不是策马奔腾就是赶着农用工具～为了制盐特地跑一趟子贡，从头到尾呈现盐的形成[太开心]曲水流觞桌也成了现在必出现的主角了[抱一抱] http://t.cn/A6fl8mqD,5,0,Thu Jul 15 19:23:08 +0800 2021
4.65913E+15,大雄喜发呆,治愈躁动的我,5,0,Thu Jul 15 07:46:19 +0800 2021
4.65899E+15,Fuck-Venus,看的想吃我们洛阳的水席了,5,1,Wed Jul 14 22:45:09 +0800 2021
4.65895E+15,柒柒家的颜小柒,[憧憬][憧憬][憧憬]姐姐我来啦,5,0,Wed Jul 14 19:43:42 +0800 2021
4.95467E+15,迷糊的littlepang,什么时候再更新呢,5,0,Sun Oct 08 20:25:34 +0800 2023
4.85203E+15,小厂女工,无可替代，等你更新,5,0,Thu Dec 29 15:22:43 +0800 2022
4.68245E+15,浅想深想,想念子柒,5,0,Fri Sep 17 15:56:34 +0800 2021
4.68243E+15,Ellan_碎,这就是李子柒的东西，广大网友也慎重些。网红创建的品牌，视频安全没法得到保障。 http://t.cn/A6MzHOQu,5,1,Fri Sep 17 14:49:23 +0800 2021
4.65898E+15,新瑞英子Irene,欢迎来千年盐都——自贡来耍，摆龙门阵、吃冷吃兔、赏灯会[并不简单][赞啊],5,1,Wed Jul 14 21:58:42 +0800 2021
4.76521E+15,L莫道不消魂,晚安[心],5,0,Wed May 04 01:30:20 +0800 2022
4.68547E+15,清亮暖茶,我家丫头一直喜欢子柒菇凉，每有更新都会要我陪她看。三年前她病了，改名子淇，希望转运，天不遂人意，今年7月，她最喜欢的“7”字头里，走出了时间，离开了～ 我还是会陪她一起关注，就像她一直陪着我一样……,5,3,Sun Sep 26 00:09:34 +0800 2021
4.74179E+15,L莫道不消魂,早安[心],5,0,Mon Feb 28 09:53:23 +0800 2022
4.74034E+15,L莫道不消魂,早安[心],5,0,Thu Feb 24 10:09:17 +0800 2022
4.91089E+15,我的得意呀,姐姐想你了，啥时候还能看到你的视频,5,0,Sat Jun 10 00:57:30 +0800 2023
4.84252E+15,L莫道不消魂,早安[心],5,0,Sat Dec 03 09:32:44 +0800 2022
4.68312E+15,HHHHush-,期待更新~,5,0,Sun Sep 19 12:45:15 +0800 2021
4.67839E+15,zou雨丹,柒，啥时候更新啊,5,0,Mon Sep 06 11:40:29 +0800 2021
4.67543E+15,黄黄女汉子,现在想看你更新真的太难了,5,0,Sun Aug 29 07:07:33 +0800 2021
