用户名,评论内容,点赞数,评论时间
深深和子柒都是我的,子柒是什么神仙[喜欢][喜欢][喜欢]？太强了，上个视频就被这个曲水流觞桌给惊艳了，猜测是自己做的，没想到是床[给心心][给心心][给心心][给心心],14,1622905907
自由的风ovo,这么多年了，涌现了很多同类型的创作者，也不乏很多高质量的作品，可是都没有子柒的视频带给我的那种感觉……快点回来吧。,14,1721006494
微笑的普利尼,什么叫文化输出？（战术后仰）[热词系列_吹爆],13,1622909094
-爱爸爸爱妈妈-,终于又等到姐姐自制家具啦！最喜欢看这个系列！！[大笑][大笑][大笑],13,1622903873
双下巴重十斤,好像落掉这一期了……看的过程中就一直想起我的爷爷……我也是农村的，我爷爷虽然是残疾人但是他还是特别不服输特别能干，他最爱做的活就是木工活，虽然没了一条腿，但是每天还是会在院子里用那些工具叮叮当当做些什么……包括自己的双拐就是爷爷自己做了一副又一副……我最喜欢的就是跟着爷爷打下手，喜欢玩刨子玩锯还喜欢玩墨线盒……爷爷已经去世十年了，真的好想他[难过],12,1624622951
DH-振弦,我说这水泵的电哪里来的，看到用钉子铺设电线杆就明白了[嗑瓜子],12,1622910194
月亮替我落笔,第一次认真看李子柒的视频，全程看着这个桌子制作完成，简直惊呆了，好牛，好强的动手能力和审美。每个视频bgm和画面都好美，太美好太恬静了，以后学习的时候可以旁边放着当背景音,12,1731429655
一日之计在于饭,"这弹幕真的逼得我停下来发个评论，真的一出现星空一堆许愿的[辣眼睛][疑惑]次次这样也太影响观感了，不想说狠话[微笑]
但话说回来，子柒姐姐真的太厉害了，点赞👍🏻[星星眼]",11,1624618524
saleisha555,好羡慕这种生活，就像是世外桃源。不是没有生活在农村，但是这种会过生活，用身边的东西把日子过得有情调，只要用心去过，也能把朴素的农村变得古色古香,11,1622904435
生死亦斯,三分钟！嘿嘿嘿，超级喜欢子柒姐姐的！一直很想努力工作以后也过上这样的生活～和自然贴贴真的太妙了！[给心心],11,1622904060
灵鹫宫公主,看到某些up主用子柒一模一样的感觉，极其类似的题材拍的作品，真的真的很想评论想子柒了。。。但是不能ky。。只能来姐姐的视频底下说[大哭][大哭],11,1666024005
模糊的红房子,不好意思，币没了，明天补上[呲牙],11,1622903876
cllllla,优美版手工耿[点赞],11,1622904803
火锅与猫咪,热评机会在眼前却想不出来骚话[doge]只能夸姐姐好美[OK],11,1622903885
64332953264_bili,外网的一帮老外估计都看傻了，拿着吃了一辈子的汉堡和可乐气的瑟瑟发抖，难道我们是猪吗！,11,1622906710
自爆型以太之光,"此地有崇山峻岭，茂林修竹，又有清流急湍，映带左右，引以为流觞曲水 ，列坐其次。   
                ----------王羲之《兰亭集序》",10,1623036441
莫离·3·,想你了姐，啥时候回来啊[大哭],10,1731259713
闻女神异味录,引以为流觞曲水，列坐其次。虽无丝竹管弦之盛，一觞一咏，亦足以畅叙幽情——《兰亭集序》,10,1622978768
呆呆希小拾,仙女下凡[给心心][给心心]祝即将高考的小伙伴们金榜题名呀[给心心],10,1622903878
全年全市全校三好学生,来的早，想不出骚话[doge],10,1622903821
_syluskitten_,三分钟,9,1622903992
---Enkidu---,"补发，视频评论正在被删除，有内幕
我看是你删的快还是网友发的快
没发现这个视频好怪吗？
柒姐之前的声明视频什么时候用过配音？而且还只是开头报了个名字就切画面了，后半句话都不是柒姐真人出镜
柒姐怕不是毫不知情的被mcn发了律师声明吧？想要柒姐真人出面解释一下此事！！
不是，四千多赞在我眼下消失了[哦呼].",9,1651329580
飞越紫雨海,大胆猜测一波：其实一切正常。只是如同原评论作者所说是他多想了然后自己删了评论，但网友不知情误以为被删，于是开始刷屏。前排热评反复消失出现是因为评论区因为太多人而炸了出的bug。嗯当然都是我猜的[妙啊],9,1651330971
账号已注销,"都好几年了，还有人搁这真实不真实的。
人家视频做的主题就是桃花源，你来这找真实？有空工地搬砖还不够你真实是吧？[疑惑]",8,1623962496
世有七风,看子柒姐姐做桌子，感觉非常熟悉，又回到了小时候，我爸爸和爷爷都是木匠，板凳桌子柜子都是他们自己做的,8,1622984094
YSLOVEXO,勤劳，智慧，文化自信。感谢柒姐让我能再看到那场流觞曲水。,8,1622909357
孤勇旅贤者,"曲水流觞，满堂茶香，
流觞曲水，子柒绝美，",8,1622906212
鑫地火号,只有热爱生活的人，才能拍出这么美，自然的视频,8,1673271301
御暮婉,为什么有人要质疑她？这确实不是农村人的现状，但是他的视频都是农业社会的智慧啊！她只是用自己的能力和智慧把她心中对于田园生活和传统文化的美表现出来而已，子柒也没说这就是农村人的生活日常啊。但是她通过视频拍摄，既可以让大家欣赏到理想的田园生活又可以学到传统文化，还能通过自媒体让自己赚到钱从而有时间和精力去经营理想的田园生活，继而给大家带来视频享受。这些道理难道很难理解吗？键盘侠就只知道质疑，不知道用脑子好好想想吗,8,1647605039
我要啸,有点不明白，这种神仙级宝藏UP怎么还会有人黑[怪我咯],8,1645028960
