id,screen_name,text_raw,like_counts,total_number,created_at
5.10031E+15,安安Annielo,谢谢你的“如愿”或许能成就很多还在迷茫中的人！,1,1,Wed Nov 13 17:53:43 +0800 2024
5.1003E+15,乐乐猪乐猪猪,两天三个视频，这更新速度，太幸福啦！,1,0,Wed Nov 13 17:40:01 +0800 2024
5.1003E+15,PGY_kiko520,空境都拍的好美[爱你][爱你][爱你],1,0,Wed Nov 13 17:19:33 +0800 2024
5.1003E+15,清木一棵,哇，又更新一条，好幸福[爱你],1,0,Wed Nov 13 17:09:55 +0800 2024
5.10029E+15,时光叽,[哇][哇][哇],1,0,Wed Nov 13 16:54:27 +0800 2024
5.10029E+15,MyloveAUdi,小民国是不是想遭打了。。。[偷笑],1,0,Wed Nov 13 16:40:35 +0800 2024
5.10029E+15,1个阳光四月天,美仑美奂，还得是你。[太开心],1,0,Wed Nov 13 16:38:09 +0800 2024
5.10029E+15,传说有只小肥羊,她还有什么不会的[苦涩]绝了,1,0,Wed Nov 13 16:31:47 +0800 2024
5.10029E+15,细雨非凡yy,[鲜花]欢迎归来！,1,0,Wed Nov 13 16:29:25 +0800 2024
5.10028E+15,为子的杨咩咩,[奥特曼][奥特曼][奥特曼][奥特曼],1,0,Wed Nov 13 16:15:52 +0800 2024
5.10028E+15,nana娜_娜_,看到后面爆哭[泪][泪],1,0,Wed Nov 13 15:55:46 +0800 2024
5.10028E+15,去找二妮呀,回来了就好，欢迎回归[鲜花][鲜花],1,0,Wed Nov 13 15:47:03 +0800 2024
5.10028E+15,躺在笼屉子里的包包,这更新频率爱了爱了[送花花],1,0,Wed Nov 13 15:45:44 +0800 2024
5.10027E+15,galaxy教主大人凡凡,请每天一更[可爱][可爱],1,1,Wed Nov 13 15:36:36 +0800 2024
5.10027E+15,会发光的秋裤,特别特别好，高中的时候经常看你的视频，现在都快毕业了[哇],1,0,Wed Nov 13 15:23:40 +0800 2024
5.10027E+15,桑椹青青橘,太好了是李子柒，我们有救了[泪][泪][泪][泪][泪][泪],1,0,Wed Nov 13 15:12:55 +0800 2024
5.10027E+15,瓶瓶不可以躺平,欢迎你回来[抱抱],1,1,Wed Nov 13 15:03:24 +0800 2024
5.10026E+15,凤凰,[锦鲤附体],1,0,Wed Nov 13 14:51:16 +0800 2024
5.10026E+15,Hanah是小乖,好厉害 真的,1,0,Wed Nov 13 14:49:45 +0800 2024
5.10026E+15,-17的果仁,一切都好，你回来很好，过自己的生活很好，我们还在很好，以后越来越好。,1,0,Wed Nov 13 14:49:28 +0800 2024
5.10026E+15,蛋卷统治世界___,看到回忆那段爆哭[泪]一切如愿！！！,1,0,Wed Nov 13 14:49:11 +0800 2024
5.10026E+15,坐以待币日进斗金,虽然但是   鸡过的都比我好  还能吃上没皮的葡萄,1,0,Wed Nov 13 14:47:20 +0800 2024
5.10026E+15,甜甜的巧,歌声一起，就再也忍不住哭了[泪][泪][泪][泪]  姐姐一定会越来越好,1,0,Wed Nov 13 14:47:15 +0800 2024
5.10026E+15,紫汐儿r,岁月静好，安暖相伴🌞🌙,1,0,Wed Nov 13 14:45:25 +0800 2024
5.10026E+15,山海星歌,世界多纷扰，记住和收藏美好，一起努力，共同创造更多的美好[太开心][太开心][太开心][鲜花][鲜花][鲜花],1,0,Wed Nov 13 14:42:24 +0800 2024
5.10026E+15,诗人不再烤面包,所以都还在，大家都还在[泪]民国也在呢,1,0,Wed Nov 13 14:32:48 +0800 2024
5.10026E+15,Cicicada_,[哇][哇][哇],1,0,Wed Nov 13 14:30:45 +0800 2024
5.10032E+15,王一刀,真好看，结尾看哭了！[悲伤],0,0,Wed Nov 13 18:28:08 +0800 2024
5.10024E+15,二木花花男,Wow！！！,0,0,Wed Nov 13 13:28:13 +0800 2024
